externalId,lat,lng,prefectureSlug,address,sourceUrl
osm:w569548991,33.2755927,130.3136212,saga,,https://www.openstreetmap.org/way/569548991
osm:w570680406,34.8330063,135.7243163,kyoto,,https://www.openstreetmap.org/way/570680406
osm:w574699331,37.7279421,140.4525779,fukushima,,https://www.openstreetmap.org/way/574699331
osm:w584894635,34.590867,133.7531228,okayama,,https://www.openstreetmap.org/way/584894635
osm:w586866614,34.6758035,135.443468,osaka,,https://www.openstreetmap.org/way/586866614
osm:w589649060,35.7012635,140.0685051,chiba,,https://www.openstreetmap.org/way/589649060
osm:w590297279,35.3699534,139.4436042,kanagawa,,https://www.openstreetmap.org/way/590297279
osm:w592580555,35.6570488,139.3122752,tokyo,,https://www.openstreetmap.org/way/592580555
osm:w600027845,35.6794162,139.8278859,tokyo,,https://www.openstreetmap.org/way/600027845
osm:w604791557,36.5287487,136.6148088,ishikawa,,https://www.openstreetmap.org/way/604791557
osm:w605126985,36.5212776,136.6167328,ishikawa,,https://www.openstreetmap.org/way/605126985
osm:w607912386,36.5276321,136.5907455,ishikawa,,https://www.openstreetmap.org/way/607912386
osm:w607986042,35.770232,139.8713642,tokyo,,https://www.openstreetmap.org/way/607986042
osm:w607986043,35.7704879,139.8713197,tokyo,,https://www.openstreetmap.org/way/607986043
osm:w615791158,34.2510817,132.5768564,hiroshima,,https://www.openstreetmap.org/way/615791158
osm:w623433408,36.5164044,140.6196554,ibaraki,,https://www.openstreetmap.org/way/623433408
osm:w623433412,36.5161379,140.620227,ibaraki,,https://www.openstreetmap.org/way/623433412
osm:w624438387,36.538517,140.6216202,ibaraki,,https://www.openstreetmap.org/way/624438387
osm:w624601735,33.3200991,130.9338642,fukuoka,,https://www.openstreetmap.org/way/624601735
osm:w625756595,33.3172736,130.93505,fukuoka,,https://www.openstreetmap.org/way/625756595
osm:w625775407,36.5371306,140.6357946,ibaraki,,https://www.openstreetmap.org/way/625775407
osm:w625775412,36.5381403,140.6363846,ibaraki,,https://www.openstreetmap.org/way/625775412
osm:w626404853,36.105724,140.0961237,ibaraki,,https://www.openstreetmap.org/way/626404853
osm:w626635617,35.4269408,139.3471409,kanagawa,,https://www.openstreetmap.org/way/626635617
osm:w639381865,39.3289815,141.5294378,iwate,,https://www.openstreetmap.org/way/639381865
osm:w639887361,37.6891813,138.8845016,niigata,,https://www.openstreetmap.org/way/639887361
osm:w640174289,34.4093608,135.3182445,hyogo,,https://www.openstreetmap.org/way/640174289
osm:w640879651,39.3360634,141.5381669,iwate,,https://www.openstreetmap.org/way/640879651
osm:w646663890,35.3315828,139.8461731,chiba,,https://www.openstreetmap.org/way/646663890
osm:w655213637,34.4266555,133.1885381,hiroshima,,https://www.openstreetmap.org/way/655213637
osm:w655280905,33.5652908,133.5598369,kochi,,https://www.openstreetmap.org/way/655280905
osm:w657110076,34.901073,132.0930538,hiroshima,,https://www.openstreetmap.org/way/657110076
osm:w659467599,34.5092062,136.7251441,mie,,https://www.openstreetmap.org/way/659467599
osm:w665331394,35.9834028,137.9833905,nagano,,https://www.openstreetmap.org/way/665331394
osm:w667827031,31.7337241,130.6273525,kagoshima,,https://www.openstreetmap.org/way/667827031
osm:w669035137,34.9414182,137.1880471,aichi,,https://www.openstreetmap.org/way/669035137
osm:w669534036,34.7519484,136.1319937,nara,,https://www.openstreetmap.org/way/669534036
osm:w672017048,35.5220386,140.0786578,chiba,,https://www.openstreetmap.org/way/672017048
osm:w681292498,36.6224178,140.6766521,ibaraki,,https://www.openstreetmap.org/way/681292498
osm:w681292507,36.6187363,140.6749625,ibaraki,,https://www.openstreetmap.org/way/681292507
osm:w682929636,34.9032615,132.0864897,hiroshima,,https://www.openstreetmap.org/way/682929636
osm:w684068438,34.8968252,136.8361264,aichi,,https://www.openstreetmap.org/way/684068438
osm:w686794182,34.9073167,136.9370231,aichi,,https://www.openstreetmap.org/way/686794182
osm:w686871603,34.9245079,136.9698458,aichi,,https://www.openstreetmap.org/way/686871603
osm:w686871707,34.930187,136.9651013,aichi,,https://www.openstreetmap.org/way/686871707
osm:w687799949,34.3913143,135.3340581,wakayama,,https://www.openstreetmap.org/way/687799949
osm:w688892889,32.646739,130.6772245,kumamoto,,https://www.openstreetmap.org/way/688892889
osm:w691022693,36.592197,140.6575846,ibaraki,,https://www.openstreetmap.org/way/691022693
osm:w692423863,37.4632239,138.8243198,niigata,,https://www.openstreetmap.org/way/692423863
osm:w692508211,33.5312082,133.4761157,kochi,,https://www.openstreetmap.org/way/692508211
osm:w693900478,35.7990173,139.8675439,tokyo,,https://www.openstreetmap.org/way/693900478
osm:w697678726,34.5426477,133.7296394,okayama,,https://www.openstreetmap.org/way/697678726
osm:w701306047,35.7803636,139.8592213,tokyo,,https://www.openstreetmap.org/way/701306047
osm:w701306062,35.7805849,139.8651898,tokyo,,https://www.openstreetmap.org/way/701306062
osm:w702268132,35.7660948,139.8096974,tokyo,,https://www.openstreetmap.org/way/702268132
osm:w702268149,35.7657206,139.8085752,tokyo,,https://www.openstreetmap.org/way/702268149
osm:w703382488,36.2914174,139.1190884,gunma,,https://www.openstreetmap.org/way/703382488
osm:w704216120,34.5264947,133.7478603,okayama,,https://www.openstreetmap.org/way/704216120
osm:w706114307,35.8060372,139.4541544,saitama,,https://www.openstreetmap.org/way/706114307
